"Sample","DropVariable","TrainingVariableSet","TrainingEvents","AddVariable","BackgroundSample","FlattenBy","Performance","BDTLeafMinFraction","VariableTransform","ExtraFlags","BDTrainingTreeDepth","JobId"
"1000pi400lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.821760425412692","1","","","30","524"
"1000pi400lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.81499503364816","1","","","30","524"
"1000pi400lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.756142280893681","1","","","30","524"
"1000pi50lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.701375820030474","1","","","30","524"
"600pi50lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.540288865868813","1","","","30","524"
"200pi50lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.208035873430114","1","","","30","524"
"400pi50lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.356533191985375","1","","","30","524"
"600pi150lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.601701789811143","1","","","30","524"
"400pi100lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.422289695673604","1","","","30","524"
"200pi25lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.154710937473484","1","","","30","524"
"200pi8lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.134043156582928","1","","","30","524"
"TestingSignalEvents","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.485960184299748","1","","","30","524"
"TrainingSignalEvents","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.485960184299748","1","","","30","524"
"200pi25lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.166209924171914","1","","","40","527"
"400pi100lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.501001236093164","1","","","40","527"
